LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000975323 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1800   -951.04357            0   -900.78722   -114161.75    5330.9442 
    3200    1748.1151    -938.8863            0   -890.07859   -11397.809     4735.421 
Loop time of 2.2582 on 1 procs for 3200 steps with 217 atoms

Performance: 367.302 ns/day, 0.065 hours/ns, 1417.058 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1666     | 2.1666     | 2.1666     |   0.0 | 95.94
Neigh   | 0.041994   | 0.041994   | 0.041994   |   0.0 |  1.86
Comm    | 0.014594   | 0.014594   | 0.014594   |   0.0 |  0.65
Output  | 2.3775e-05 | 2.3775e-05 | 2.3775e-05 |   0.0 |  0.00
Modify  | 0.029917   | 0.029917   | 0.029917   |   0.0 |  1.32
Other   |            | 0.005057   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4194 ave 4194 max 4194 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8388 ave 8388 max 8388 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8388
Ave neighs/atom = 38.6544
Neighbor list builds = 71
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.664 | 9.664 | 9.664 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200    -938.8863    48.807709   -890.07859    1748.1151   -11397.809    2.1297595            0 5.4350456e-32 
    3300   -939.33465    50.254112   -889.08054      1799.92    5665.2868    2.1667127 0.0030815888   0.12798413 
    8900     -940.225    49.509853   -890.71514    1773.2634   -3197.7934    2.1489767   0.29982446   0.12845895 
    9000   -941.06111    50.085783   -890.97533    1793.8911     648.7683    2.1622221   0.11977225   0.12166441 
    9100   -938.69911    50.777686   -887.92142    1818.6726    5262.9639    2.1692748   0.19637863    0.1325364 
    9200   -933.27787    54.323977    -878.9539    1945.6878   -6523.5334    2.1250044   0.27354852   0.13284531 
    9300   -943.70811    52.745613    -890.9625    1889.1566    2011.2296    2.1725486  0.078233473   0.12390704 
    9400   -942.78309    52.327038   -890.45605    1874.1648    1284.7007    2.1678907  0.094295542   0.12225112 
    9500   -939.98929    49.746385    -890.2429    1781.7351   -8835.5329    2.1430721   0.37645895    0.1289564 
    9600   -935.51804    53.589144    -881.9289    1919.3688     2721.747    2.1560871    0.2387093   0.13091654 
    9700   -936.70663    54.273008   -882.43363    1943.8623    4002.3448    2.1649326  0.051140541   0.14282537 
    9800   -936.81333     47.03485   -889.77848    1684.6177   -11730.523    2.1305318  0.099887519   0.13341051 
    9900   -937.36423    46.236542   -891.12769    1656.0252    4690.5955    2.1693614   0.27767026   0.15634929 
   10000   -940.56409    50.044457   -890.51963     1792.411    14193.242    2.1988136  0.011535068   0.14574341 
   10100   -933.29543     52.56989   -880.72554    1882.8628    -13077.26    2.1066889   0.29025069   0.14915094 
   10200   -939.77788    48.438213   -891.33967    1734.8811    -601.2373    2.1613604   0.16517041   0.14873925 
   10300    -940.7661    51.586657   -889.17944     1847.647    8739.4909     2.178113    3.3251736     0.145034 
   10400    -938.6237     51.73673   -886.88697     1853.022   -5441.5192    2.1434681    12.656297   0.16071612 
   10500   -931.25023    53.242761   -878.00746    1906.9626   -5603.9204    2.1200146    10.611561   0.17326857 
   10600   -940.47874    51.165706   -889.31303    1832.5701    7970.0919    2.1795307    10.022462   0.16356549 
   10700   -938.10914    49.110277   -888.99887     1758.952   -84.076062    2.1585475     8.659243   0.17610845 
   10800   -934.97786    48.070456    -886.9074    1721.7094   -1951.1025    2.1456793    8.7113695    0.1570336 
   10900   -932.48566     53.84751   -878.63815    1928.6225    6268.7179    2.1553662    6.2401813   0.14620195 
   11000   -939.04676    51.227228   -887.81953    1834.7735    939.74089    2.1568608    6.4500632   0.13846044 
   11100   -940.53451    49.907891   -890.62662    1787.5197   -7782.4142    2.1401218    8.4570459   0.13383812 
   11200   -940.10258     51.05419   -889.04839    1828.5759    7604.6193    2.1756508     5.644304   0.12694919 
   11300   -945.25666     48.89573   -896.36094    1751.2677    2697.8457    2.1786126    6.1616446   0.12780756 
   11400   -945.04564    47.324901   -897.72074    1695.0063   -7007.4285    2.1512914    6.0832615   0.12806546 
   11500   -943.17541    52.732374   -890.44304    1888.6824   -612.19894     2.164124    6.9142867   0.13215507 
   11600   -939.92856    51.469909   -888.45865    1843.4655    6537.6042    2.1717307    5.7643638   0.14457877 
   11700   -943.47217    49.392087   -894.08008    1769.0454    -5297.185    2.1502476    6.6612919   0.14651796 
   11800    -946.0742    47.362729   -898.71147    1696.3612   -1827.8113     2.171132    7.2409443   0.12559439 
   11900   -937.79625    49.316499   -888.47975    1766.3381    8201.2067     2.171759    5.9720917   0.12533042 
   12000   -936.59093    46.693541   -889.89739    1672.3933   -4151.3481    2.1412542    9.2917174   0.13024834 
   12100   -944.89782    52.650887   -892.24693    1885.7638   -8202.5184     2.145182    7.4092388   0.12101133 
   12200   -945.68155    47.623981   -898.05757    1705.7183    20941.593    2.2231131    4.6199303   0.12851664 
   12300   -937.50027    50.499241   -887.00103    1808.6997   -7065.3232    2.1317994    5.2426716    0.1351243 
   12400   -938.86265    48.923611   -889.93904    1752.2663   -9889.5161    2.1277189    6.7555324   0.12796589 
   12500   -941.28211    51.578648   -889.70346    1847.3601    11546.286    2.1915289    5.7523585   0.12625995 
   12600   -944.81684    46.986202   -897.83063    1682.8754   -725.01304    2.1691401    6.1211176   0.13871975 
   12700   -941.78812    45.808712   -895.97941     1640.702   -8045.1201    2.1453252    7.2141583   0.12896008 
   12800   -940.24798    50.526796   -889.72118    1809.6866    5302.4505    2.1693067    7.0083624   0.14101715 
   12900   -937.79644    48.134038    -889.6624    1723.9867    4507.4842    2.1621649    6.2224081   0.13350929 
   13000   -943.22292    49.923417   -893.29951    1788.0757   -7649.1306    2.1449517    6.2207364   0.12143626 
   13100   -948.96726    48.237412   -900.72985    1727.6892    3664.6427     2.187576    4.9475031   0.13817448 
   13200   -938.26974    48.438991   -889.83075     1734.909    1325.5975    2.1571329    6.9907089   0.14018605 
   13300   -941.53319    51.410421   -890.12277    1841.3348   -5164.5347    2.1459498    7.4093407   0.13121103 
   13400   -939.68134     49.75894    -889.9224    1782.1848    3070.9202    2.1636805    4.8506175   0.13413965 
   13500   -946.35631    46.140152   -900.21616    1652.5729    3835.4168    2.1796943    7.0843782   0.13726856 
   13600   -940.53264    46.356612   -894.17603    1660.3257   -8012.6537    2.1379804    6.8721748   0.11712726 
   13700   -941.69522    51.725215      -889.97    1852.6096    5490.3473     2.174915    5.4024906    0.1400504 
   13800    -940.0292    51.886072   -888.14313    1858.3709    8316.1671    2.1736156    7.3874819   0.12010172 
   13900   -934.11103    45.993137    -888.1179    1647.3074   -13818.968    2.1122368    7.5046722   0.12151677 
   14000   -942.29955    44.209833   -898.08971    1583.4359    8043.5361    2.1889951     5.800457    0.1369046 
   14100   -938.92268    49.204243   -889.71843    1762.3176    11283.875    2.1864088    5.5846619   0.14097004 
   14200   -942.57434    52.485027   -890.08932    1879.8233   -12175.054    2.1283855     5.883752    0.1256322 
   14300   -940.22353    52.084483   -888.13904    1865.4773   -1297.4221    2.1524188    6.8659138   0.14928933 
   14400   -947.42422    48.041078   -899.38314    1720.6572    7071.1167    2.1990096    6.0585189   0.14414609 
   14500   -938.29861    45.242884   -893.05573     1620.436   -3860.5817    2.1500128    6.5853387   0.14267484 
   14600   -939.84908    50.323684    -889.5254    1802.4119   -3307.4107    2.1563922    7.9099348   0.14095681 
   14700   -942.26139    51.910203   -890.35119    1859.2352    3100.6928    2.1746942    5.8901116   0.13151871 
   14800   -942.11295    42.172857   -899.94009    1510.4788    2241.7038    2.1740211    6.7717684    0.1310174 
   14900   -940.70841    49.818186   -890.89022    1784.3068   -8092.7728    2.1420914    7.8883126   0.13751645 
   15000   -939.48056    51.274621   -888.20594     1836.471    6068.7515    2.1712819    6.2199386   0.12645063 
   15100   -943.31088    49.361334   -893.94954     1767.944    2627.4053    2.1697104    6.0176502   0.13956888 
   15200   -945.08313    46.320254   -898.76287    1659.0235   -7652.5107    2.1518226    7.0138745   0.12279495 
   15300   -941.86526    53.407044   -888.45822    1912.8467    -3272.725    2.1524404    8.1918488   0.14161167 
   15400   -943.86187    54.809065    -889.0528     1963.062    4901.1867    2.1816609    7.1668083   0.13094145 
   15500   -939.95455    45.657025   -894.29752     1635.269   -4681.4306    2.1516529    6.6901887   0.15273119 
   15600   -938.51511     52.52838   -885.98673    1881.3761    -7545.068    2.1370637    7.6200297   0.12644252 
   15700    -938.5436    53.863094    -884.6805    1929.1807    14009.141    2.1890292    5.8663607   0.13510098 
   15800   -941.52674    50.657612   -890.86913     1814.372   -7744.3363    2.1462938    6.2463181   0.13294747 
   15900   -938.49391    46.484033   -892.00988    1664.8895   -9976.1316    2.1308069    5.6746514   0.13632469 
   16000   -939.04473    54.115294   -884.92944    1938.2136    18323.295     2.203152    6.8434731   0.15875196 
   16100   -937.45553    53.283586   -884.17194    1908.4248   -3090.3526    2.1502866    6.0073266   0.13778253 
   16200   -938.76662    45.466265   -893.30036    1628.4367   -9804.9673    2.1325512    6.9778266   0.13452902 
   16300    -936.7205    47.037608   -889.68289    1684.7165    7417.5229    2.1733534    5.9664895   0.13955402 
   16400    -935.1431    48.949243   -886.19385    1753.1844    4765.2418    2.1623843    5.4874772   0.12945809 
   16500   -933.62762    55.081298   -878.54632    1972.8123   -7947.3553    2.1242823    6.7554747   0.14465155 
   16600   -940.67427    49.911137   -890.76313    1787.6359     5560.349    2.1752592    6.9150066   0.15447095 
   16700   -937.71785    48.685659   -889.03219    1743.7438    3177.2006    2.1634469    6.7566703   0.16361907 
   16800   -941.23259     52.49024   -888.74235      1880.01   -7126.5767    2.1405496    6.3848063   0.16367795 
   16900    -950.6072    51.741252   -898.86595     1853.184    2003.7845    2.1851836    6.0066717   0.15750539 
   17000   -946.70187    54.425164   -892.27671     1949.312    -2330.081     2.164396    6.9608933   0.14806946 
   17100   -940.06078    52.143673    -887.9171    1867.5973   -2624.9739    2.1471733    7.9610249    0.1504344 
   17200   -945.31312    54.814296   -890.49882    1963.2493   -5429.4512    2.1542555    6.9070555   0.13495408 
   17300   -945.38092    48.580197   -896.80072    1739.9665    4741.6652    2.1816595    7.0927502    0.1504824 
   17400   -939.37908    53.782316   -885.59676    1926.2875   -6419.8956    2.1380516    7.9488083   0.16102576 
   17500   -940.62542    51.688232   -888.93719     1851.285    -925.2287    2.1546451    7.7677308   0.16160044 
   17600    -941.5468    49.548632   -891.99817    1774.6523    8747.9817    2.1878801    8.0803058   0.15323296 
   17700   -937.43437    53.299392   -884.13497    1908.9909   -3963.8622     2.140235    5.0363304   0.16754219 
   17800   -936.30032    51.854011   -884.44631    1857.2226   -5850.0245    2.1286572      5.11778   0.16915366 
   17900   -938.34851    48.667916   -889.68059    1743.1082     7571.252    2.1781708    6.9911757   0.16532503 
   18000   -943.53246    52.889594   -890.64287    1894.3135     1984.754    2.1704965    9.3426695   0.16189783 
   18100   -934.75739    53.725617   -881.03177    1924.2568   -13656.988     2.112922    6.8127144    0.1688567 
   18200    -938.6032    49.070675   -889.53253    1757.5336    6003.2181    2.1708892    5.2697082   0.16476569 
   18300   -940.01273    49.989469   -890.02326    1790.4415    7749.7924    2.1766996    5.2662832   0.17270363 
   18400   -939.65587    50.764013   -888.89185    1818.1829   -7475.0542    2.1370107    2.6176041   0.15553558 
   18500   -933.07032     52.80915   -880.26117    1891.4322   -240.89893    2.1417865    6.9922228   0.17238364 
   18600   -943.85051    53.582671   -890.26783     1919.137    12428.365    2.1935918    7.5545495   0.16188862 
   18700   -939.62465    48.666494   -890.95815    1743.0573   -10343.842    2.1331105    5.2460992   0.16796118 
   18800   -933.66628    45.083168   -888.58311    1614.7156   -1236.1568    2.1482438    6.0738546   0.20450362 
   18900   -943.15572    51.581889   -891.57383    1847.4762    10382.952     2.191551    3.4386185   0.14513689 
   19000   -944.46178    46.905742   -897.55604    1679.9936     -151.499     2.173584    6.1693377   0.16327252 
   19100    -943.0627    52.883874   -890.17882    1894.1086   -8901.4045    2.1462437    4.4974048   0.15390245 
   19200   -939.75244    52.888178   -886.86427    1894.2627    2294.8324    2.1641195    8.8722929   0.17524742 
   19300   -944.43915    49.985987   -894.45316    1790.3168   -1393.8002    2.1680394    3.8190088   0.17280629 
   19400   -942.22113    48.221148   -893.99998    1727.1066   -2692.1442    2.1617477    8.3137338   0.15832945 
   19500   -941.80358    54.968564   -886.83502    1968.7746   -1859.8541    2.1548388   0.67539995   0.14459068 
   19600   -938.26835    47.818109   -890.45024    1712.6713   -275.15999    2.1561306    2.9949037   0.17007042 
   19700   -943.62747    45.813829   -897.81364    1640.8852   -1377.1586    2.1687014    4.5910896   0.15620809 
   19800   -943.43417    56.627135   -886.80703    2028.1786   -5433.4488    2.1453607    6.6908806   0.15499419 
   19900   -938.81275     50.97358   -887.83917    1825.6888    6880.7634    2.1712471    6.0903172   0.15170275 
   20000   -939.66761    46.472426   -893.19518    1664.4738    -2815.268    2.1579035    5.2124243   0.16017019 
   20100    -937.3475    54.022321   -883.32518    1934.8836   -7175.5487    2.1356268    5.9568114   0.16337136 
   20200   -939.15698    54.387386   -884.76959    1947.9589    4990.6953    2.1692447    6.2600588   0.16667808 
   20300   -941.59075    51.068023   -890.52273    1829.0714   -4328.4623    2.1488231    5.9519408   0.14852432 
   20400   -935.19664    45.392439    -889.8042    1625.7926   -4263.8877     2.137872    5.3589944   0.16043121 
   20500   -933.95136    54.692699   -879.25866    1958.8942     9849.011    2.1690323    3.6964286   0.17097566 
   20600   -937.99162    50.604013   -887.38761    1812.4522    4624.9504    2.1676353    5.7652312   0.15047509 
   20700   -940.63538    48.282316   -892.35307    1729.2975    -17052.48    2.1162593    5.6799735   0.14696907 
   20800   -934.58136    48.833316   -885.74805    1749.0323    6610.2328    2.1619917    4.2181504   0.14283993 
   20900   -938.49566     49.19858   -889.29708    1762.1147    7377.3533    2.1764126    7.1862494   0.15664069 
   21000   -945.77742    50.750947   -895.02647    1817.7149   -8999.4582    2.1485213    10.305412    0.1413355 
   21100   -939.65404    50.902306   -888.75173     1823.136   -2780.1636    2.1490305    6.9466339   0.13702323 
   21200   -936.84019    50.932276   -885.90791    1824.2094     6136.062    2.1625947    5.5334977   0.15947927 
   21300   -942.63905     46.82304   -895.81601    1677.0315     374.6608    2.1612697    7.7211796   0.14895921 
   21400   -938.97165    47.507297   -891.46436    1701.5391   -3239.1462    2.1432474    4.6935579    0.1643796 
   21500   -940.40843     54.58621   -885.82222    1955.0801    445.55977     2.157317    5.4825578   0.15627654 
   21600   -942.94475     49.57877   -893.36598    1775.7317     1175.387    2.1674511    8.8416061    0.1486232 
   21700   -940.52073    47.924686   -892.59605    1716.4885   -3328.8485    2.1519497     4.796922   0.15620018 
   21800   -939.03503    53.649824    -885.3852    1921.5421    312.66966    2.1470402    4.0633537   0.16016394 
   21900   -941.95109    50.377211   -891.57388     1804.329    5580.9353     2.170981    5.0164329   0.15875184 
   22000   -942.44334    48.491359   -893.95198    1736.7846   -5807.1319     2.154801    4.8355435   0.15894052 
   22100   -933.32232    48.988626   -884.33369    1754.5949   -8197.9913    2.1261604    6.9817585   0.16708558 
   22200   -940.59003    50.446431    -890.1436    1806.8082    10736.824    2.1887914    4.7298689   0.16696624 
   22300   -938.56096    46.223531   -892.33743    1655.5593    2821.8152    2.1653601    4.9174181   0.17442132 
   22400   -931.18061    43.896672   -887.28393    1572.2196   -15599.166    2.1079003    11.288185   0.17909972 
   22500   -935.12743    53.072503   -882.05493    1900.8646    9239.5296    2.1729228   0.52447239   0.18311596 
   22600   -945.06259     53.63597   -891.42662    1921.0459    8297.9526     2.187645   0.47603272   0.13565363 
   22700   -938.67599    48.963851   -889.71214    1753.7076   -13186.835    2.1226565   0.36574391   0.14124336 
   22800   -937.53746    53.743749   -883.79371    1924.9062   -1643.5325    2.1433686   0.20307104   0.16232426 
   22900   -938.89317    47.932365    -890.9608    1716.7635    11254.034    2.1870147    1.0371748   0.16177359 
   23000   -938.39644    45.870368   -892.52608    1642.9102   -3523.4379    2.1547211   0.46314924   0.18259786 
   23100   -935.12258    50.458361   -884.66422    1807.2355   -6840.0663     2.131569    1.3272895   0.17948091 
   23200   -938.49749    48.082684   -890.41481    1722.1474    11536.682    2.1823217   0.81555267   0.16347587 
   23300    -941.3564    48.546317   -892.81009     1738.753    4309.8782    2.1725238   0.94549258   0.14400515 
   23400     -936.307    52.257482   -884.04952    1871.6735   -8589.3185    2.1334946    0.4215996   0.15266778 
   23500   -937.91174    48.190745     -889.721    1726.0177    793.78916    2.1634515    1.8551985   0.16334307 
   23600   -942.69327    51.118125   -891.57515    1830.8659    6626.1576    2.1865047  0.086273084   0.17034709 
   23700   -931.41669    48.418353   -882.99834    1734.1698   -3649.3733    2.1370363     1.394826   0.17572374 
   23800   -937.55242    48.616281   -888.93614    1741.2589   -1075.7832    2.1479654   0.92119625     0.152551 
   23900   -942.14538    51.513479   -890.63191     1845.026    11088.129    2.1896359   0.35282635   0.14788989 
   24000   -940.43286    54.218931   -886.21393    1941.9255   -2186.4417    2.1543906   0.18313493   0.14986691 
   24100   -935.44681    50.379239   -885.06757    1804.4017   -11901.913    2.1236331  0.071366393   0.15009148 
   24200   -942.04204    48.796381   -893.24566    1747.7094    10452.413    2.1966559   0.21832343   0.14917081 
   24300   -937.83116    49.671851   -888.15931    1779.0656    7841.6355      2.17952   0.09220918   0.12750163 
   24400   -936.71012    48.738176   -887.97195    1745.6247   -10417.446     2.128391  0.034627453   0.12982378 
   24500   -945.03453    47.864091   -897.17044    1714.3182    807.79997    2.1767486   0.11866704   0.14069993 
   24600   -939.27391    49.775186   -889.49872    1782.7667    5336.7479    2.1719156   0.17101326   0.14853352 
   24700   -936.61589    48.585463   -888.03043    1740.1551   -1470.4322    2.1536178    0.2742294   0.15485702 
